Index of Image;;Drop Volume ;Cylinder Diameter;;Contact Length (side);Contact Length (front);Reference Length
Index (side);Index (front);V / ul;D / mm;?D / mm;L / pixel;x / pixel;y / pixel
0;;2;0;0;171;;116.8
1;;2;0;0;165.3;;116.8
2;;2;0;0;166.8;;116.8
3;;2;0;0;170;;116.8
4;;2;0;0;165.3;;116.8
0;;4;0;0;208.3;;116.8
1;;4;0;0;209;;116.8
2;;4;0;0;204.3;;116.8
3;;4;0;0;205.3;;116.8
4;;4;0;0;206.7;;116.8
0;;6;0;0;244.5;;116.8
1;;6;0;0;238;;116.8
2;;6;0;0;236;;116.8
3;;6;0;0;238;;116.8
4;;6;0;0;234;;116.8
0;;8;0;0;264.5;;116.8
1;;8;0;0;262.5;;116.8
2;;8;0;0;258;;116.8
3;;8;0;0;262;;116.8
4;;8;0;0;259.5;;116.8
0;;12;0;0;301.5;;116.8
1;;12;0;0;305;;116.8
2;;12;0;0;295;;116.8
3;;12;0;0;304;;116.8
4;;12;0;0;302;;116.8
0;;16;0;0;339.5;;116.8
1;;16;0;0;334;;116.8
2;;16;0;0;330;;116.8
3;;16;0;0;337;;116.8
4;;16;0;0;338;;116.8
0;;20;0;0;368;;116.8
1;;20;0;0;370;;116.8
2;;20;0;0;356;;116.8
3;;20;0;0;362;;116.8
4;;20;0;0;362;;116.8
0;;24;0;0;416;;116.8
1;;24;0;0;386;;116.8
2;;24;0;0;385;;116.8
3;;24;0;0;390;;116.8
4;;24;0;0;383;;116.8
